epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4211,0.99585,0.50806,0.80477,0.77708,0.84324,0.83722,0.57261,0.94856,0.4662,0.78833,0.000471923,0.000471923,0.000471923
2,37.4391,1.01315,0.51219,0.80468,0.83065,0.80316,0.79193,0.54783,0.98149,0.48564,0.78742,0.000916964,0.000916964,0.000916964
3,55.2572,1.03408,0.52533,0.80559,0.71776,0.88768,0.80567,0.52611,0.98032,0.49157,0.78861,0.00133057,0.00133057,0.00133057
