source_id,frame,west_in,east_in,north_in,south_in,total_flow
zhandong_road1,6,0,0,0,0,0
zhandong_road1,36,0,0,0,2,2
zhandong_road1,66,0,1,0,2,3
zhandong_road1,96,0,0,0,1,1
zhandong_road1,126,0,0,1,1,2
zhandong_road1,156,0,1,0,0,1
zhandong_road1,186,0,0,0,0,0
zhandong_road1,216,0,0,1,0,1
zhandong_road1,246,0,1,0,0,1
zhandong_road1,276,1,0,0,0,1
zhandong_road1,306,1,0,0,0,1
zhandong_road1,336,0,0,0,0,0
zhandong_road1,366,0,0,0,0,0
zhandong_road1,396,0,0,0,0,0
zhandong_road1,426,1,0,1,0,2
zhandong_road1,456,0,0,1,0,1
zhandong_road1,486,0,0,1,0,1
zhandong_road1,516,0,0,0,1,1
zhandong_road1,546,0,0,0,1,1
zhandong_road1,576,0,0,0,1,1
zhandong_road1,606,0,0,1,0,1
zhandong_road1,636,0,0,0,1,1
zhandong_road1,666,0,0,1,0,1
zhandong_road1,696,0,0,0,1,1
zhandong_road1,726,0,0,0,0,0
zhandong_road1,756,0,0,1,0,1
zhandong_road1,786,0,0,1,1,2
zhandong_road1,816,0,0,0,0,0
zhandong_road1,846,0,0,0,0,0
zhandong_road1,876,0,0,0,0,0
zhandong_road1,906,0,0,1,1,2
zhandong_road1,936,0,1,0,0,1
zhandong_road1,966,0,0,0,0,0
zhandong_road1,996,0,0,0,0,0
zhandong_road1,1026,0,0,0,0,0
zhandong_road1,1056,0,0,1,0,1
zhandong_road1,1086,0,0,0,1,1
zhandong_road1,1116,0,0,0,0,0
zhandong_road1,1146,0,0,0,1,1
zhandong_road1,1176,0,0,0,0,0
zhandong_road1,1206,0,1,1,0,2
zhandong_road1,1236,0,0,0,0,0
zhandong_road1,1266,0,0,0,0,0
zhandong_road1,1296,0,1,0,0,1
zhandong_road1,1326,0,1,0,0,1
zhandong_road1,1356,1,1,0,0,2
zhandong_road1,1386,1,2,0,0,3
zhandong_road1,1416,0,1,0,0,1
zhandong_road1,1446,0,1,0,0,1
zhandong_road1,1476,0,1,0,0,1
zhandong_road1,1506,0,0,0,0,0
zhandong_road1,1536,0,2,0,0,2
zhandong_road1,1566,0,0,0,0,0
zhandong_road1,1596,1,1,0,0,2
zhandong_road1,1626,1,0,1,0,2
zhandong_road1,1656,0,2,0,0,2
zhandong_road1,1686,0,1,0,0,1
zhandong_road1,1716,1,1,0,0,2
zhandong_road1,1746,0,0,0,0,0
zhandong_road1,1776,0,1,0,0,1
zhandong_road1,1806,1,0,0,0,1
zhandong_road1,1836,1,0,0,0,1
zhandong_road1,1866,0,1,0,0,1
zhandong_road1,1896,0,1,0,0,1
zhandong_road1,1926,0,0,0,0,0
zhandong_road1,1956,0,1,0,0,1
zhandong_road1,1986,1,0,0,0,1
zhandong_road1,2016,0,1,0,0,1
zhandong_road1,2046,1,2,0,0,3
zhandong_road1,2076,0,1,0,0,1
zhandong_road1,2106,0,1,1,0,2
zhandong_road1,2136,1,1,1,0,3
zhandong_road1,2166,0,0,0,0,0
zhandong_road1,2196,0,0,1,0,1
zhandong_road1,2226,0,0,0,0,0
zhandong_road1,2256,0,0,0,0,0
zhandong_road1,2286,0,1,0,0,1
zhandong_road1,2316,0,0,0,0,0
zhandong_road1,2346,0,0,0,0,0
zhandong_road1,2376,1,1,0,0,2
zhandong_road1,2406,2,0,0,1,3
zhandong_road1,2436,1,1,0,0,2
zhandong_road1,2466,1,1,0,0,2
zhandong_road1,2496,0,0,1,0,1
zhandong_road1,2526,0,1,0,0,1
zhandong_road1,2556,0,1,0,0,1
zhandong_road1,2586,2,0,0,0,2
zhandong_road1,2616,1,1,0,0,2
zhandong_road1,2646,0,0,0,0,0
zhandong_road1,2676,0,1,0,0,1
zhandong_road1,2706,0,0,1,0,1
zhandong_road1,2736,1,0,0,0,1
zhandong_road1,2766,0,0,0,0,0
zhandong_road1,2796,1,1,0,0,2
zhandong_road1,2826,1,0,0,0,1
zhandong_road1,2856,1,1,0,0,2
zhandong_road1,2886,1,0,0,0,1
zhandong_road1,2916,1,1,0,0,2
zhandong_road1,2946,0,0,0,0,0
zhandong_road1,2976,0,0,1,0,1
zhandong_road1,3006,0,0,0,0,0
zhandong_road1,3036,0,0,1,0,1
zhandong_road1,3066,1,0,1,0,2
zhandong_road1,3096,0,0,0,0,0
zhandong_road1,3126,0,1,0,0,1
zhandong_road1,3156,0,0,0,0,0
zhandong_road1,3186,1,0,1,0,2
zhandong_road1,3216,0,0,0,0,0
zhandong_road1,3246,0,0,0,0,0
zhandong_road1,3276,0,0,0,0,0
zhandong_road1,3306,1,1,0,0,2
zhandong_road1,3336,0,0,0,0,0
zhandong_road1,3366,1,0,0,0,1
zhandong_road1,3396,0,1,0,0,1
zhandong_road1,3426,0,0,2,0,2
zhandong_road1,3456,0,0,0,0,0
zhandong_road1,3486,0,0,0,0,0
zhandong_road1,3516,0,1,0,0,1
zhandong_road1,3546,0,0,0,0,0
zhandong_road1,3576,0,0,0,0,0
zhandong_road1,3606,0,0,0,0,0
zhandong_road1,3636,0,0,0,0,0
zhandong_road1,3666,0,0,0,0,0
zhandong_road1,3696,0,0,0,0,0
zhandong_road1,3726,0,0,0,0,0
zhandong_road1,3756,0,0,0,1,1
zhandong_road1,3786,0,0,0,0,0
zhandong_road1,3816,0,0,0,0,0
zhandong_road1,3846,0,0,0,0,0
zhandong_road1,3876,0,0,0,0,0
zhandong_road1,3906,0,0,0,0,0
zhandong_road1,3936,0,0,0,0,0
zhandong_road1,3966,0,0,1,0,1
zhandong_road1,3996,0,0,0,0,0
zhandong_road1,4026,0,0,1,2,3
zhandong_road1,4056,0,1,0,0,1
zhandong_road1,4086,0,0,0,0,0
zhandong_road1,4116,0,0,1,0,1
zhandong_road1,4146,0,0,0,0,0
zhandong_road1,4176,0,1,0,1,2
zhandong_road1,4206,0,0,0,1,1
zhandong_road1,4236,0,0,1,0,1
zhandong_road1,4266,0,0,0,0,0
zhandong_road1,4296,0,0,0,0,0
zhandong_road1,4326,0,0,1,1,2
zhandong_road1,4356,0,1,0,0,1
zhandong_road1,4386,0,0,1,0,1
zhandong_road1,4416,0,0,0,0,0
zhandong_road1,4446,0,0,0,0,0
zhandong_road1,4476,0,0,1,0,1
zhandong_road1,4506,0,0,1,0,1
zhandong_road1,4536,0,0,0,1,1
zhandong_road1,4566,0,0,0,0,0
zhandong_road1,4596,0,0,0,0,0
zhandong_road1,4626,0,1,1,0,2
zhandong_road1,4656,0,0,0,0,0
zhandong_road1,4686,0,1,1,1,3
zhandong_road1,4716,0,0,0,1,1
zhandong_road1,4746,0,0,2,0,2
zhandong_road1,4776,0,0,0,0,0
zhandong_road1,4806,0,1,0,0,1
zhandong_road1,4836,0,0,0,0,0
zhandong_road1,4866,0,0,0,0,0
zhandong_road1,4896,0,0,0,0,0
zhandong_road1,4926,0,0,0,1,1
zhandong_road1,4956,0,1,0,0,1
zhandong_road1,4986,0,0,0,0,0
zhandong_road1,5016,0,0,1,0,1
zhandong_road1,5046,0,0,1,0,1
zhandong_road1,5076,0,0,0,0,0
zhandong_road1,5106,0,0,0,0,0
zhandong_road1,5136,0,1,0,0,1
zhandong_road1,5166,0,0,0,1,1
zhandong_road1,5196,0,0,1,0,1
zhandong_road1,5226,0,0,0,0,0
zhandong_road1,5256,0,0,0,1,1
zhandong_road1,5286,0,1,2,0,3
zhandong_road1,5316,0,0,0,0,0
