source_id,frame,west_in,east_in,north_in,south_in,total_flow
zhandong_road1,2796,0,1,0,0,1
zhandong_road1,2826,1,0,0,0,1
zhandong_road1,2856,0,1,0,0,1
zhandong_road1,2886,1,0,0,0,1
zhandong_road1,2916,0,1,0,0,1
zhandong_road1,2946,0,0,0,0,0
zhandong_road1,2976,0,0,0,0,0
zhandong_road1,3006,0,0,1,0,1
zhandong_road1,3036,0,0,1,0,1
zhandong_road1,3066,1,0,1,0,2
zhandong_road1,3096,0,0,0,0,0
zhandong_road1,3126,0,1,0,0,1
zhandong_road1,3156,0,0,1,0,1
zhandong_road1,3186,1,0,0,0,1
zhandong_road1,3216,2,0,0,0,2
zhandong_road1,3246,0,0,0,0,0
zhandong_road1,3276,0,0,0,0,0
zhandong_road1,3306,0,1,0,0,1
zhandong_road1,3336,1,0,1,0,2
zhandong_road1,3366,0,0,0,0,0
zhandong_road1,3396,0,1,1,0,2
zhandong_road1,3426,0,0,0,0,0
zhandong_road1,3456,0,0,0,0,0
zhandong_road1,3486,0,0,0,0,0
zhandong_road1,3516,0,1,0,0,1
zhandong_road1,3546,0,0,1,0,1
zhandong_road1,3576,1,0,0,0,1
zhandong_road1,3606,0,0,0,0,0
zhandong_road1,3636,0,0,0,0,0
zhandong_road1,3666,0,0,0,0,0
zhandong_road1,3696,0,0,0,0,0
zhandong_road1,3726,0,0,0,0,0
zhandong_road1,3756,0,0,0,0,0
zhandong_road1,3786,1,0,0,0,1
zhandong_road1,3816,0,0,0,0,0
zhandong_road1,3846,0,0,0,0,0
zhandong_road1,3876,0,0,0,0,0
zhandong_road1,3906,0,0,0,0,0
zhandong_road1,3936,0,0,0,0,0
zhandong_road1,3966,0,0,2,1,3
zhandong_road1,3996,0,0,1,0,1
zhandong_road1,4026,0,0,0,0,0
zhandong_road1,4056,0,1,0,0,1
zhandong_road1,4086,1,0,1,1,3
zhandong_road1,4116,0,0,0,0,0
zhandong_road1,4146,0,0,0,0,0
zhandong_road1,4176,0,1,0,0,1
zhandong_road1,4206,1,0,0,0,1
zhandong_road1,4236,0,0,0,0,0
zhandong_road1,4266,0,0,0,0,0
zhandong_road1,4296,0,0,0,0,0
zhandong_road1,4326,0,0,1,1,2
zhandong_road1,4356,1,1,1,0,3
zhandong_road1,4386,0,0,0,0,0
zhandong_road1,4416,0,0,0,0,0
zhandong_road1,4446,0,0,1,0,1
zhandong_road1,4476,0,0,0,0,0
zhandong_road1,4506,2,0,1,0,3
zhandong_road1,4536,0,0,0,0,0
zhandong_road1,4566,0,0,1,0,1
zhandong_road1,4596,0,0,0,0,0
zhandong_road1,4626,0,1,0,0,1
zhandong_road1,4656,1,0,0,0,1
zhandong_road1,4686,0,1,2,0,3
zhandong_road1,4716,0,0,1,0,1
zhandong_road1,4746,0,0,0,0,0
zhandong_road1,4776,0,0,1,0,1
zhandong_road1,4806,0,1,0,0,1
zhandong_road1,4836,1,0,0,1,2
zhandong_road1,4866,0,0,0,0,0
zhandong_road1,4896,0,0,0,0,0
zhandong_road1,4926,0,0,0,0,0
zhandong_road1,4956,1,1,0,0,2
zhandong_road1,4986,0,0,1,0,1
zhandong_road1,5016,0,0,2,1,3
zhandong_road1,5046,0,0,0,0,0
zhandong_road1,5076,0,0,0,1,1
zhandong_road1,5106,0,0,0,0,0
zhandong_road1,5136,0,1,1,0,2
zhandong_road1,5166,0,0,0,0,0
zhandong_road1,5196,0,0,1,0,1
zhandong_road1,5226,0,0,0,1,1
zhandong_road1,5256,0,0,0,0,0
zhandong_road1,5286,0,1,0,0,1
zhandong_road1,5316,0,0,0,0,0
zhandong_road1,5346,0,0,1,0,1
zhandong_road1,5376,1,0,0,0,1
zhandong_road1,5406,0,0,0,1,1
zhandong_road1,5436,0,0,0,0,0
zhandong_road1,5466,0,0,0,1,1
zhandong_road1,5496,0,0,0,0,0
zhandong_road1,5526,0,1,0,0,1
zhandong_road1,5556,0,0,0,0,0
zhandong_road1,5586,0,0,0,0,0
zhandong_road1,5616,0,0,0,0,0
zhandong_road1,5646,0,0,0,0,0
zhandong_road1,5676,0,1,0,0,1
zhandong_road1,5706,0,0,0,0,0
zhandong_road1,5736,0,0,0,0,0
zhandong_road1,5766,1,0,0,1,2
zhandong_road1,5796,0,1,0,0,1
zhandong_road1,5826,0,0,0,0,0
zhandong_road1,5856,0,0,0,0,0
zhandong_road1,5886,0,0,1,0,1
zhandong_road1,5916,0,0,1,0,1
zhandong_road1,5946,0,1,1,0,2
zhandong_road1,5976,1,0,0,0,1
zhandong_road1,6006,0,0,0,0,0
zhandong_road1,6036,0,0,1,0,1
zhandong_road1,6066,0,0,0,0,0
zhandong_road1,6096,0,1,1,0,2
zhandong_road1,6126,0,0,0,0,0
zhandong_road1,6156,0,1,1,0,2
zhandong_road1,6186,0,0,0,0,0
zhandong_road1,6216,0,0,0,0,0
zhandong_road1,6246,0,0,1,0,1
zhandong_road1,6276,0,0,0,0,0
zhandong_road1,6306,0,0,0,0,0
zhandong_road1,6336,1,1,0,0,2
zhandong_road1,6366,1,0,0,1,2
zhandong_road1,6396,0,0,0,0,0
zhandong_road1,6426,0,0,0,0,0
zhandong_road1,6456,0,0,1,0,1
zhandong_road1,6486,0,0,0,0,0
zhandong_road1,6516,0,0,0,0,0
zhandong_road1,6546,0,0,0,0,0
zhandong_road1,6576,0,0,1,0,1
zhandong_road1,6606,0,0,0,0,0
zhandong_road1,6636,1,0,0,0,1
zhandong_road1,6666,0,1,0,0,1
zhandong_road1,6696,0,0,0,0,0
zhandong_road1,6726,1,1,0,0,2
zhandong_road1,6756,0,0,0,0,0
zhandong_road1,6786,2,0,0,0,2
zhandong_road1,6816,0,2,0,0,2
zhandong_road1,6846,0,0,0,0,0
zhandong_road1,6876,0,1,0,0,1
zhandong_road1,6906,0,0,0,0,0
zhandong_road1,6936,0,0,0,0,0
zhandong_road1,6966,0,0,1,0,1
zhandong_road1,6996,0,1,0,0,1
zhandong_road1,7026,0,1,0,0,1
zhandong_road1,7056,0,1,0,0,1
zhandong_road1,7086,0,0,0,0,0
zhandong_road1,7116,0,1,0,0,1
zhandong_road1,7146,0,0,0,0,0
zhandong_road1,7176,1,0,0,0,1
zhandong_road1,7206,0,0,0,0,0
zhandong_road1,7236,0,1,0,0,1
zhandong_road1,7266,1,0,0,0,1
zhandong_road1,7296,0,0,0,0,0
zhandong_road1,7326,0,1,0,0,1
zhandong_road1,7356,0,1,1,0,2
zhandong_road1,7386,0,0,0,0,0
zhandong_road1,7416,0,0,0,0,0
zhandong_road1,7446,0,2,0,0,2
zhandong_road1,7476,0,0,0,0,0
zhandong_road1,7506,1,0,0,0,1
zhandong_road1,7536,0,1,1,0,2
zhandong_road1,7566,0,0,0,0,0
zhandong_road1,7596,0,0,0,0,0
zhandong_road1,7626,0,1,1,0,2
zhandong_road1,7656,0,1,0,0,1
zhandong_road1,7686,0,0,1,0,1
zhandong_road1,7716,0,0,0,0,0
zhandong_road1,7746,0,0,0,0,0
zhandong_road1,7776,0,2,0,0,2
zhandong_road1,7806,0,1,0,0,1
zhandong_road1,7836,2,0,0,0,2
zhandong_road1,7866,0,0,0,0,0
zhandong_road1,7896,0,0,1,0,1
zhandong_road1,7926,0,1,0,0,1
zhandong_road1,7956,0,0,0,0,0
zhandong_road1,7986,0,0,0,0,0
zhandong_road1,8016,1,1,1,0,3
zhandong_road1,8046,0,1,0,0,1
zhandong_road1,8076,0,0,0,0,0
zhandong_road1,8106,0,0,0,0,0
zhandong_road1,8136,0,0,0,0,0
zhandong_road1,8166,0,1,0,0,1
zhandong_road1,8196,0,0,0,0,0
zhandong_road1,8226,0,0,0,0,0
zhandong_road1,8256,0,0,0,0,0
zhandong_road1,8286,0,0,0,0,0
zhandong_road1,8316,0,1,0,0,1
zhandong_road1,8346,0,0,0,0,0
zhandong_road1,8376,1,0,0,0,1
zhandong_road1,8406,1,1,0,0,2
zhandong_road1,8436,0,0,1,0,1
zhandong_road1,8466,0,0,0,0,0
zhandong_road1,8496,0,0,0,0,0
zhandong_road1,8526,0,0,0,0,0
zhandong_road1,8556,0,0,0,0,0
zhandong_road1,8586,0,0,0,0,0
zhandong_road1,8616,0,0,0,0,0
zhandong_road1,8646,0,0,0,0,0
zhandong_road1,8676,0,0,0,0,0
zhandong_road1,8706,0,0,0,0,0
zhandong_road1,8736,0,0,0,0,0
zhandong_road1,8766,1,0,0,0,1
zhandong_road1,8796,0,0,1,0,1
zhandong_road1,8826,0,0,0,0,0
zhandong_road1,8856,0,0,0,0,0
zhandong_road1,8886,0,0,1,0,1
zhandong_road1,8916,1,0,0,0,1
zhandong_road1,8946,0,0,0,0,0
zhandong_road1,8976,0,1,0,0,1
zhandong_road1,9006,0,0,1,0,1
zhandong_road1,9036,0,0,0,0,0
zhandong_road1,9066,0,1,2,0,3
zhandong_road1,9096,1,0,0,0,1
zhandong_road1,9126,0,0,1,0,1
zhandong_road1,9156,0,0,0,0,0
zhandong_road1,9186,0,0,0,0,0
zhandong_road1,9216,0,0,0,0,0
zhandong_road1,9246,0,0,0,0,0
zhandong_road1,9276,0,0,1,0,1
zhandong_road1,9306,0,1,1,0,2
zhandong_road1,9336,0,0,0,0,0
zhandong_road1,9366,0,0,0,1,1
zhandong_road1,9396,0,0,1,0,1
zhandong_road1,9426,0,0,1,0,1
zhandong_road1,9456,0,0,0,0,0
zhandong_road1,9486,0,0,2,0,2
zhandong_road1,9516,0,1,0,0,1
zhandong_road1,9546,0,0,0,0,0
zhandong_road1,9576,0,0,1,0,1
zhandong_road1,9606,1,0,1,0,2
zhandong_road1,9636,1,0,0,0,1
zhandong_road1,9666,1,1,0,0,2
zhandong_road1,9696,0,0,1,0,1
zhandong_road1,9726,0,0,0,0,0
zhandong_road1,9756,0,0,0,0,0
zhandong_road1,9786,0,0,0,0,0
zhandong_road1,9816,0,0,0,0,0
zhandong_road1,9846,0,0,1,0,1
zhandong_road1,9876,0,0,0,0,0
zhandong_road1,9906,0,0,0,0,0
zhandong_road1,9936,0,0,0,1,1
zhandong_road1,9966,0,0,0,0,0
zhandong_road1,9996,0,0,0,1,1
zhandong_road1,10026,0,0,1,1,2
zhandong_road1,10056,0,0,0,0,0
zhandong_road1,10086,1,0,0,0,1
zhandong_road1,10116,0,0,0,0,0
zhandong_road1,10146,0,0,1,0,1
zhandong_road1,10176,0,0,0,1,1
zhandong_road1,10206,0,0,0,1,1
zhandong_road1,10236,0,1,0,0,1
zhandong_road1,10266,0,0,1,0,1
